,city,category,Name,lat,lng,points,points-lng-lat,geometry
251,New York,basketball court,45 Wall Basketball Court,40.7061882019043,-74.00999450683594,"{'type': 'Point', 'coordinates': [40.7061882019043, -74.00999450683594]}","{'type': 'Point', 'coordinates': [-74.00999450683594, 40.7061882019043]}",POINT (-74.00999450683594 40.7061882019043)
252,New York,basketball court,15 William Basketball Court,40.705406188964844,-74.01021575927734,"{'type': 'Point', 'coordinates': [40.705406188964844, -74.01021575927734]}","{'type': 'Point', 'coordinates': [-74.01021575927734, 40.705406188964844]}",POINT (-74.01021575927734 40.70540618896484)
253,New York,basketball court,Scholes Basketball Court,40.708837,-73.945137,"{'type': 'Point', 'coordinates': [40.708837, -73.945137]}","{'type': 'Point', 'coordinates': [-73.945137, 40.708837]}",POINT (-73.945137 40.708837)
254,New York,basketball court,State Street Basketball Court,40.69167,-73.998587,"{'type': 'Point', 'coordinates': [40.69167, -73.998587]}","{'type': 'Point', 'coordinates': [-73.998587, 40.69167]}",POINT (-73.998587 40.69167)
255,New York,basketball court,East River Basketball Court,40.74704637022351,-73.90800355489168,"{'type': 'Point', 'coordinates': [40.74704637022351, -73.90800355489168]}","{'type': 'Point', 'coordinates': [-73.90800355489168, 40.74704637022351]}",POINT (-73.90800355489168 40.74704637022351)
256,New York,basketball court,Morningside Park Basketball Court,40.803187438792285,-73.95854473114014,"{'type': 'Point', 'coordinates': [40.803187438792285, -73.95854473114014]}","{'type': 'Point', 'coordinates': [-73.95854473114014, 40.803187438792285]}",POINT (-73.95854473114014 40.80318743879229)
257,New York,basketball court,Robert Moses Basketball Courts,40.747980654928455,-73.96875443018217,"{'type': 'Point', 'coordinates': [40.747980654928455, -73.96875443018217]}","{'type': 'Point', 'coordinates': [-73.96875443018217, 40.747980654928455]}",POINT (-73.96875443018217 40.74798065492845)
258,New York,basketball court,UN Basketball Courts,40.748170381754264,-73.96862870624382,"{'type': 'Point', 'coordinates': [40.748170381754264, -73.96862870624382]}","{'type': 'Point', 'coordinates': [-73.96862870624382, 40.748170381754264]}",POINT (-73.96862870624382 40.74817038175426)
259,New York,basketball court,Morningside Basketball Court,40.80727335053639,-73.95664984156755,"{'type': 'Point', 'coordinates': [40.80727335053639, -73.95664984156755]}","{'type': 'Point', 'coordinates': [-73.95664984156755, 40.80727335053639]}",POINT (-73.95664984156755 40.80727335053639)
260,New York,basketball court,Coffey Park Basketball Court,40.6776984842025,-74.00940405844237,"{'type': 'Point', 'coordinates': [40.6776984842025, -74.00940405844237]}","{'type': 'Point', 'coordinates': [-74.00940405844237, 40.6776984842025]}",POINT (-74.00940405844237 40.6776984842025)
261,New York,basketball court,Ennis Basketball Court,40.670544,-73.99408,"{'type': 'Point', 'coordinates': [40.670544, -73.99408]}","{'type': 'Point', 'coordinates': [-73.99408, 40.670544]}",POINT (-73.99408 40.670544)
262,New York,basketball court,Abe Lincoln Basketball Court,40.81241008983937,-73.93770139979851,"{'type': 'Point', 'coordinates': [40.81241008983937, -73.93770139979851]}","{'type': 'Point', 'coordinates': [-73.93770139979851, 40.81241008983937]}",POINT (-73.93770139979851 40.81241008983937)
263,New York,basketball court,Stuyvesant Town Basketball Courts,40.73243250210569,-73.9794974594504,"{'type': 'Point', 'coordinates': [40.73243250210569, -73.9794974594504]}","{'type': 'Point', 'coordinates': [-73.9794974594504, 40.73243250210569]}",POINT (-73.9794974594504 40.73243250210569)
264,New York,basketball court,Essex St Basketball Court,40.723182,-74.08731222152495,"{'type': 'Point', 'coordinates': [40.723182, -74.08731222152495]}","{'type': 'Point', 'coordinates': [-74.08731222152495, 40.723182]}",POINT (-74.08731222152495 40.723182)
265,New York,basketball court,Port Liberte Basketball Court,40.6898689542362,-74.07405090544546,"{'type': 'Point', 'coordinates': [40.6898689542362, -74.07405090544546]}","{'type': 'Point', 'coordinates': [-74.07405090544546, 40.6898689542362]}",POINT (-74.07405090544546 40.6898689542362)
266,New York,basketball court,Na Middle School Basketball Court,40.79778869315757,-74.12219235686919,"{'type': 'Point', 'coordinates': [40.79778869315757, -74.12219235686919]}","{'type': 'Point', 'coordinates': [-74.12219235686919, 40.79778869315757]}",POINT (-74.12219235686919 40.79778869315757)
267,New York,basketball court,Basketball Courts - MLK High School,40.77430795063366,-73.98433728128573,"{'type': 'Point', 'coordinates': [40.77430795063366, -73.98433728128573]}","{'type': 'Point', 'coordinates': [-73.98433728128573, 40.77430795063366]}",POINT (-73.98433728128573 40.77430795063366)
268,New York,basketball court,Queensbridge Basketball Courts,40.75505950577882,-73.9491033554077,"{'type': 'Point', 'coordinates': [40.75505950577882, -73.9491033554077]}","{'type': 'Point', 'coordinates': [-73.9491033554077, 40.75505950577882]}",POINT (-73.9491033554077 40.75505950577882)
269,New York,basketball court,Tompkins Square Park Basketball Courts,40.72693710129172,-73.98055919057269,"{'type': 'Point', 'coordinates': [40.72693710129172, -73.98055919057269]}","{'type': 'Point', 'coordinates': [-73.98055919057269, 40.72693710129172]}",POINT (-73.98055919057269 40.72693710129172)
270,New York,basketball court,Sands St. Basketball Courts,40.72548999442792,-73.98762002190988,"{'type': 'Point', 'coordinates': [40.72548999442792, -73.98762002190988]}","{'type': 'Point', 'coordinates': [-73.98762002190988, 40.72548999442792]}",POINT (-73.98762002190988 40.72548999442792)
271,New York,basketball court,PS 63 Basketball Courts,40.72326644292644,-73.98899163991514,"{'type': 'Point', 'coordinates': [40.72326644292644, -73.98899163991514]}","{'type': 'Point', 'coordinates': [-73.98899163991514, 40.72326644292644]}",POINT (-73.98899163991514 40.72326644292644)
272,New York,basketball court,Harborview Basketball Courts,40.768132833124334,-73.99064445528262,"{'type': 'Point', 'coordinates': [40.768132833124334, -73.99064445528262]}","{'type': 'Point', 'coordinates': [-73.99064445528262, 40.768132833124334]}",POINT (-73.99064445528262 40.76813283312433)
